media	mediaws	growth	geneko	addtlCpd										
none	excalibur0:narrative_1547442516441	1	none	none										
"Carbon-1,2-Propanediol"	excalibur0:narrative_1547442516441	0	none	none										
Carbon-2-3-Butanediol	excalibur0:narrative_1547442516441	0	none	none										
Carbon-2-Aminoethanol	excalibur0:narrative_1547442516441	1	none	none										
Carbon-2-Deoxy-Adenosine	excalibur0:narrative_1547442516441	0	none	none										
Carbon-2-Deoxy-D-Ribose	excalibur0:narrative_1547442516441	1	none	none										
Carbon-3-Hydroxy-2-Butanone	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Acetamide	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Acetic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Acetoacetic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Adenosine	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Adonitol	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Amygdalin	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Arbutin	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Butyric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-Chondroitin-Sulfate-C	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Citric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-L-Malic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Arabinose	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Arabitol	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Cellobiose	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Fructose	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Fructose-6-Phosphate	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Fucose	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Galactose	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Galacturonic-Acid	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Gluconic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Glucosamine	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Glucosaminic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Glucose-1-Phosphate	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Glucose-6-Phosphate	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Glucuronic-Acid	excalibur0:narrative_1547442516441	0	none	none										
Carbon-Dihydroxy-Acetone	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Malic-Acid	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Mannitol	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Mannose	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Melezitose	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Melibiose	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Psicose	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Raffinose	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Ribose	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Saccharic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Sorbitol	excalibur0:narrative_1547442516441	1	none	none										
Carbon-D-Tagatose	excalibur0:narrative_1547442516441	0	none	none										
Carbon-D-Trehalose	excalibur0:narrative_1547442516441	0	none	none										
